Date;SP500
13.02.04;1145.54
16.02.04;1145.54
17.02.04;1157.76
18.02.04;1152.11
19.02.04;1145.81
20.02.04;1156.99
23.02.04;1151.82
24.02.04;1147.06
25.02.04;1144.11
26.02.04;1140.99
27.02.04;1139.09
01.03.04;1143.67
02.03.04;1144.91
03.03.04;1144.94
04.03.04;1155.97
05.03.04;1149.10
08.03.04;1151.03
09.03.04;1154.87
10.03.04;1156.86
11.03.04;1147.20
12.03.04;1140.58
15.03.04;1123.89
16.03.04;1106.78
17.03.04;1120.57
18.03.04;1104.49
19.03.04;1110.70
22.03.04;1123.75
23.03.04;1122.32
24.03.04;1109.78
25.03.04;1095.40
26.03.04;1093.95
29.03.04;1091.33
30.03.04;1109.19
31.03.04;1108.06
01.04.04;1122.47
02.04.04;1127.00
05.04.04;1126.21
06.04.04;1132.17
07.04.04;1141.81
08.04.04;1150.57
09.04.04;1150.57
12.04.04;1148.16
13.04.04;1140.53
14.04.04;1139.32
15.04.04;1145.20
16.04.04;1129.44
19.04.04;1128.17
20.04.04;1128.84
21.04.04;1134.61
22.04.04;1135.82
23.04.04;1118.15
26.04.04;1124.09
27.04.04;1139.93
28.04.04;1140.60
29.04.04;1135.53
30.04.04;1138.11
03.05.04;1122.41
04.05.04;1113.89
05.05.04;1107.30
06.05.04;1117.49
07.05.04;1119.55
10.05.04;1121.53
11.05.04;1113.99
12.05.04;1098.70
13.05.04;1087.12
14.05.04;1095.45
17.05.04;1097.28
18.05.04;1096.44
19.05.04;1095.70
20.05.04;1084.10
21.05.04;1091.49
24.05.04;1088.68
25.05.04;1089.19
26.05.04;1093.56
27.05.04;1095.41
28.05.04;1113.05
31.05.04;1113.05
01.06.04;1114.94
02.06.04;1121.28
03.06.04;1120.68
04.06.04;1121.20
07.06.04;1124.99
08.06.04;1116.64
09.06.04;1122.50
10.06.04;1140.42
11.06.04;1140.42
14.06.04;1142.18
15.06.04;1131.33
16.06.04;1136.47
17.06.04;1125.29
18.06.04;1132.01
21.06.04;1133.56
22.06.04;1132.05
23.06.04;1135.02
24.06.04;1130.30
25.06.04;1134.41
28.06.04;1144.06
29.06.04;1140.65
30.06.04;1134.43
01.07.04;1133.35
02.07.04;1136.20
05.07.04;1136.20
06.07.04;1140.84
07.07.04;1128.94
08.07.04;1125.38
09.07.04;1116.21
12.07.04;1118.33
13.07.04;1109.11
14.07.04;1112.81
15.07.04;1114.35
16.07.04;1115.14
19.07.04;1111.47
20.07.04;1106.69
21.07.04;1101.39
22.07.04;1100.90
23.07.04;1108.67
26.07.04;1093.88
27.07.04;1096.84
28.07.04;1086.20
29.07.04;1084.07
30.07.04;1094.83
02.08.04;1095.42
03.08.04;1100.43
04.08.04;1101.72
05.08.04;1106.62
06.08.04;1099.69
09.08.04;1098.63
10.08.04;1080.70
11.08.04;1063.97
12.08.04;1065.22
13.08.04;1079.04
16.08.04;1075.79
17.08.04;1063.23
18.08.04;1064.80
19.08.04;1079.34
20.08.04;1081.71
23.08.04;1095.17
24.08.04;1091.23
25.08.04;1098.35
26.08.04;1095.68
27.08.04;1096.19
30.08.04;1104.96
31.08.04;1105.09
01.09.04;1107.77
02.09.04;1099.15
03.09.04;1104.24
06.09.04;1104.24
07.09.04;1105.91
08.09.04;1118.31
09.09.04;1113.63
10.09.04;1121.30
13.09.04;1116.27
14.09.04;1118.38
15.09.04;1123.92
16.09.04;1125.82
17.09.04;1128.33
20.09.04;1120.37
21.09.04;1123.50
22.09.04;1128.55
23.09.04;1122.20
24.09.04;1129.30
27.09.04;1113.56
28.09.04;1108.36
29.09.04;1110.11
30.09.04;1103.52
01.10.04;1110.06
04.10.04;1114.80
05.10.04;1114.58
06.10.04;1131.50
07.10.04;1135.17
08.10.04;1134.48
11.10.04;1142.05
12.10.04;1130.65
13.10.04;1122.14
14.10.04;1124.39
15.10.04;1121.84
18.10.04;1113.65
19.10.04;1103.29
20.10.04;1108.20
21.10.04;1114.02
22.10.04;1103.23
25.10.04;1103.66
26.10.04;1106.49
27.10.04;1095.74
28.10.04;1094.80
29.10.04;1111.09
01.11.04;1125.40
02.11.04;1127.44
03.11.04;1130.20
04.11.04;1130.51
05.11.04;1130.56
08.11.04;1143.20
09.11.04;1161.67
10.11.04;1166.17
11.11.04;1164.89
12.11.04;1164.08
15.11.04;1162.91
16.11.04;1173.48
17.11.04;1184.17
18.11.04;1183.81
19.11.04;1175.43
22.11.04;1181.94
23.11.04;1183.55
24.11.04;1170.34
25.11.04;1170.34
26.11.04;1177.24
29.11.04;1176.94
30.11.04;1181.76
01.12.04;1182.65
02.12.04;1178.57
03.12.04;1173.82
06.12.04;1191.37
07.12.04;1190.33
08.12.04;1191.17
09.12.04;1190.25
10.12.04;1177.07
13.12.04;1182.81
14.12.04;1189.24
15.12.04;1188.00
16.12.04;1198.68
17.12.04;1203.38
20.12.04;1205.72
21.12.04;1203.21
22.12.04;1194.20
23.12.04;1194.65
24.12.04;1194.65
27.12.04;1205.45
28.12.04;1209.57
29.12.04;1210.13
30.12.04;1204.92
31.12.04;1213.54
03.01.05;1213.45
04.01.05;1213.55
05.01.05;1211.92
06.01.05;1202.08
07.01.05;1188.05
10.01.05;1183.74
11.01.05;1187.89
12.01.05;1186.19
13.01.05;1190.25
14.01.05;1182.99
17.01.05;1182.99
18.01.05;1187.70
19.01.05;1177.45
20.01.05;1184.52
21.01.05;1195.98
24.01.05;1184.63
25.01.05;1175.41
26.01.05;1167.87
27.01.05;1163.75
28.01.05;1168.41
31.01.05;1174.07
01.02.05;1174.55
02.02.05;1171.36
03.02.05;1181.27
04.02.05;1189.41
07.02.05;1193.19
08.02.05;1189.89
09.02.05;1203.03
10.02.05;1201.72
11.02.05;1202.30
14.02.05;1191.99
15.02.05;1197.01
16.02.05;1205.30
17.02.05;1206.14
18.02.05;1210.12
21.02.05;1210.12
22.02.05;1210.34
23.02.05;1200.75
24.02.05;1201.59
25.02.05;1184.16
28.02.05;1190.80
01.03.05;1200.20
02.03.05;1211.37
03.03.05;1203.60
04.03.05;1210.41
07.03.05;1210.08
08.03.05;1210.47
09.03.05;1222.12
10.03.05;1225.31
11.03.05;1219.43
14.03.05;1207.01
15.03.05;1209.25
16.03.05;1200.08
17.03.05;1206.83
18.03.05;1197.75
21.03.05;1188.07
22.03.05;1190.21
23.03.05;1189.65
24.03.05;1183.78
25.03.05;1183.78
28.03.05;1171.71
29.03.05;1172.53
30.03.05;1171.42
31.03.05;1174.28
01.04.05;1165.36
04.04.05;1181.41
05.04.05;1180.59
06.04.05;1172.92
07.04.05;1176.12
08.04.05;1181.39
11.04.05;1184.07
12.04.05;1191.14
13.04.05;1181.20
14.04.05;1181.21
15.04.05;1187.76
18.04.05;1173.79
19.04.05;1162.05
20.04.05;1142.62
21.04.05;1145.98
22.04.05;1152.78
25.04.05;1137.50
26.04.05;1159.95
27.04.05;1152.12
28.04.05;1162.10
29.04.05;1151.83
02.05.05;1156.38
03.05.05;1143.22
04.05.05;1156.85
05.05.05;1162.16
06.05.05;1161.17
09.05.05;1175.65
10.05.05;1172.63
11.05.05;1171.35
12.05.05;1178.84
13.05.05;1166.22
16.05.05;1171.11
17.05.05;1159.36
18.05.05;1154.05
19.05.05;1165.69
20.05.05;1173.80
23.05.05;1185.56
24.05.05;1191.08
25.05.05;1189.28
26.05.05;1193.86
27.05.05;1194.07
30.05.05;1194.07
31.05.05;1190.01
01.06.05;1197.62
02.06.05;1198.78
03.06.05;1191.50
06.06.05;1202.22
07.06.05;1204.29
08.06.05;1196.02
09.06.05;1197.51
10.06.05;1197.26
13.06.05;1194.67
14.06.05;1200.93
15.06.05;1198.11
16.06.05;1200.82
17.06.05;1203.91
20.06.05;1206.58
21.06.05;1210.96
22.06.05;1216.96
23.06.05;1216.10
24.06.05;1213.61
27.06.05;1213.88
28.06.05;1200.73
29.06.05;1191.57
30.06.05;1190.69
01.07.05;1201.57
04.07.05;1201.57
05.07.05;1199.85
06.07.05;1191.33
07.07.05;1194.44
08.07.05;1204.99
11.07.05;1194.94
12.07.05;1197.87
13.07.05;1211.86
14.07.05;1219.44
15.07.05;1222.21
18.07.05;1223.29
19.07.05;1226.50
20.07.05;1227.92
21.07.05;1221.13
22.07.05;1229.35
25.07.05;1235.20
26.07.05;1227.04
27.07.05;1233.68
28.07.05;1229.03
29.07.05;1231.16
01.08.05;1236.79
02.08.05;1243.72
03.08.05;1234.18
04.08.05;1235.35
05.08.05;1244.12
08.08.05;1245.04
09.08.05;1235.86
10.08.05;1226.42
11.08.05;1223.13
12.08.05;1231.38
15.08.05;1229.13
16.08.05;1237.81
17.08.05;1230.39
18.08.05;1233.87
19.08.05;1219.34
22.08.05;1220.24
23.08.05;1219.02
24.08.05;1219.71
25.08.05;1221.73
26.08.05;1217.59
29.08.05;1209.59
30.08.05;1212.37
31.08.05;1205.10
01.09.05;1212.28
02.09.05;1208.41
05.09.05;1208.41
06.09.05;1220.33
07.09.05;1221.59
08.09.05;1218.02
09.09.05;1233.39
12.09.05;1236.36
13.09.05;1231.67
14.09.05;1241.48
15.09.05;1240.56
16.09.05;1231.20
19.09.05;1227.16
20.09.05;1227.73
21.09.05;1237.91
22.09.05;1231.02
23.09.05;1221.34
26.09.05;1210.20
27.09.05;1214.62
28.09.05;1215.29
29.09.05;1215.63
30.09.05;1215.66
03.10.05;1216.89
04.10.05;1227.68
05.10.05;1228.81
06.10.05;1226.70
07.10.05;1214.47
10.10.05;1196.39
11.10.05;1191.49
12.10.05;1195.90
13.10.05;1187.33
14.10.05;1184.87
17.10.05;1177.68
18.10.05;1176.84
19.10.05;1186.57
20.10.05;1190.10
21.10.05;1178.14
24.10.05;1195.76
25.10.05;1177.80
26.10.05;1179.59
27.10.05;1199.38
28.10.05;1196.54
31.10.05;1191.38
01.11.05;1178.90
02.11.05;1198.41
03.11.05;1207.01
04.11.05;1202.76
07.11.05;1214.76
08.11.05;1219.94
09.11.05;1220.14
10.11.05;1222.81
11.11.05;1218.59
14.11.05;1220.65
15.11.05;1230.96
16.11.05;1234.72
17.11.05;1233.76
18.11.05;1229.01
21.11.05;1231.21
22.11.05;1242.80
23.11.05;1248.27
24.11.05;1248.27
25.11.05;1254.85
28.11.05;1261.23
29.11.05;1265.61
30.11.05;1268.25
01.12.05;1257.46
02.12.05;1257.48
05.12.05;1249.48
06.12.05;1264.67
07.12.05;1265.08
08.12.05;1262.09
09.12.05;1263.70
12.12.05;1257.37
13.12.05;1255.84
14.12.05;1259.37
15.12.05;1260.43
16.12.05;1267.43
19.12.05;1272.74
20.12.05;1270.94
21.12.05;1267.32
22.12.05;1259.92
23.12.05;1259.62
26.12.05;1259.62
27.12.05;1262.79
28.12.05;1268.12
29.12.05;1268.66
30.12.05;1256.54
01.01.06;1256.54
03.01.06;1258.17
04.01.06;1254.42
05.01.06;1248.29
06.01.06;1268.80
09.01.06;1273.46
10.01.06;1273.48
11.01.06;1285.45
12.01.06;1290.15
13.01.06;1289.69
16.01.06;1289.69
17.01.06;1294.18
18.01.06;1286.06
19.01.06;1287.61
20.01.06;1282.93
23.01.06;1277.93
